id,name,continent,subregion,driving_side,area,population,gdp_per_capita,Armed Forces size,Capital/Major City,GDP,Latitude,Longitude,hemisphere,pop_density,is_landlocked,timezone_count,unesco_sites,population_cat,area_cat,GDP_cat,gdp_per_capita_cat,armed_forces_cat,pop_density_cat,timezone_cat,unesco_cat,latitude_cat,longitude_cat,olympics_hosted_count,olympics_latest_year
CYP,Cyprus,Asia,Western Asia,Left,9250,1260138,34701,16000,Nicosia,24564647935,35.126413,33.429859,North,136.23,False,1,3,512.5K-2.6M,2.8K-28.8K km²,Small ($5B-$25B),$32.6K-$128.3K,10K-50K,103-161 /km²,1,3-5,Subtropical (25° to 40°),Middle East (30° to 60°),0,0
SWZ,Eswatini,Africa,Sub-Saharan Africa,Left,17360,1210822,3797,0,Mbabane,3791304348,-26.522503,31.465866,South,69.75,True,1,0,512.5K-2.6M,2.8K-28.8K km²,Micro (<$5B),$1.6K-$3.8K,No Standing Army,44-72 /km²,1,0,Southern (-30° to -10°),Middle East (30° to 60°),0,0
DJI,Djibouti,Africa,Sub-Saharan Africa,Right,23200,1136455,3606,13000,Djibouti City,3318716359,11.825138,42.590275,North,48.99,False,1,0,512.5K-2.6M,2.8K-28.8K km²,Micro (<$5B),$1.6K-$3.8K,10K-50K,44-72 /km²,1,0,Tropical (10° to 25°),Middle East (30° to 60°),0,0
FJI,Fiji,Oceania,Melanesia,Left,18270,936375,5868,4000,Suva,5535548972,-17.713371,178.065032,South,51.25,False,1,1,512.5K-2.6M,2.8K-28.8K km²,Small ($5B-$25B),$3.8K-$7.2K,1-10K,44-72 /km²,1,1-2,Southern (-30° to -10°),Pacific (140°+),0,0
COM,Comoros,Africa,Sub-Saharan Africa,Right,1861,852075,1587,0,"Moroni, Comoros",1185728677,-11.6455,43.3333,South,457.86,False,1,0,512.5K-2.6M,0-2.8K km²,Micro (<$5B),$200-$1.6K,No Standing Army,302-19.0K /km²,1,0,Southern (-30° to -10°),Middle East (30° to 60°),0,0
GUY,Guyana,Americas,Latin America And The Caribbean,Left,214970,813834,20626,3000,"Georgetown, Guyana",4280443645,4.860416,-58.93018,North,3.79,False,1,0,512.5K-2.6M,206.5K-456.9K km²,Micro (<$5B),$13.9K-$32.6K,1-10K,2-19 /km²,1,0,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
BTN,Bhutan,Asia,Southern Asia,Left,38394,784043,-1,-1,Thimphu,-1,27.5,90.5,North,20.42,True,1,0,512.5K-2.6M,28.8K-88.2K km²,Unknown,Unknown,Unknown,19-44 /km²,1,0,Subtropical (25° to 40°),Central Asia (60° to 100°),0,0
SLB,Solomon Islands,Oceania,Melanesia,Left,28900,740424,2203,0,Honiara,1425074226,-9.64571,160.156194,South,25.62,False,1,1,512.5K-2.6M,28.8K-88.2K km²,Micro (<$5B),$1.6K-$3.8K,No Standing Army,19-44 /km²,1,1-2,Equatorial (-10° to 10°),Pacific (140°+),0,0
LUX,Luxembourg,Europe,Western Europe,Right,2590,668606,128259,2000,Luxembourg City,71104919108,49.815273,6.129583,North,258.15,True,1,1,512.5K-2.6M,0-2.8K km²,Developing ($25B-$100B),$32.6K-$128.3K,1-10K,161-302 /km²,1,1-2,Temperate (40° to 55°),Europe/Africa (0° to 30°),0,0
SUR,Suriname,Americas,Latin America And The Caribbean,Left,163820,623236,6069,2000,Paramaribo,3985250737,3.919305,-56.027783,North,3.8,False,1,3,512.5K-2.6M,88.2K-206.5K km²,Micro (<$5B),$3.8K-$7.2K,1-10K,2-19 /km²,1,3-5,Equatorial (-10° to 10°),Americas (-100° to -50°),0,0
